NDO_No,Shrt_Desc,Cholestrl_(mg),Protein_(g),Energ_Kcal,Water_(g)
03198,Babyfood cereal with egg yolks junior,63.0,1.9,52.0,88.7
03197,Babyfood cereal with egg yolks strained,63.0,1.9,51.0,88.8
03199,Babyfood cereal with eggs strained,51.0,2.2,58.0,87.2
03222,Babyfood cherry cobbler junior,0.0,0.3,78.0,79.8
03206,Babyfood cookie baby fruit,4.0,6.8,435.0,5.7
03213,Babyfood cookies,12.0,11.8,433.0,5.9
03214,Babyfood cookies arrowroot,0.0,7.6,424.0,5.6
03934,Babyfood corn and sweet potatoes strained,1.0,1.26,68.0,82.62
03209,Babyfood crackers vegetable,0.0,8.4,477.0,2.0
43004,Babyfood dessert banana pudding strained,29.0,1.0,68.0,83.5
43539,Babyfood dessert banana yogurt strained,1.0,1.1,78.0,80.7
43537,Babyfood dessert blueberry yogurt strained,4.0,0.5,77.0,81.4
03225,Babyfood dessert cherry vanilla pudding junior,10.0,0.2,69.0,81.0
03224,Babyfood dessert cherry vanilla pudding strained,10.0,0.2,68.0,81.5
03246,Babyfood dessert custard pudding vanilla junior,38.0,1.76,86.0,79.31
03245,Babyfood dessert custard pudding vanilla strained,8.0,1.6,85.0,79.9
03221,Babyfood dessert dutch apple junior,0.0,0.2,79.0,80.32
03220,Babyfood dessert dutch apple strained,0.0,0.2,75.0,79.5
03236,Babyfood dessert fruit dessert without ascorbic acid junior,0.0,0.3,63.0,82.2
03235,Babyfood dessert fruit dessert without ascorbic acid strained,0.0,0.3,59.0,83.4
03226,Babyfood dessert fruit pudding orange strained,3.0,1.1,80.0,79.8
03233,Babyfood dessert fruit pudding pineapple strained,0.0,1.3,81.0,77.6
03228,Babyfood dessert peach cobbler junior,0.0,0.3,67.0,81.2
03227,Babyfood dessert peach cobbler strained,0.0,0.3,65.0,81.8
43536,Babyfood dessert peach yogurt,4.0,0.9,76.0,80.87
03297,Babyfood dinner apples and chicken strained,5.0,2.16,65.0,85.4
03287,Babyfood dinner beef noodle junior,8.0,2.5,57.0,87.8
03047,Babyfood dinner beef noodle strained,8.0,2.44,63.0,86.84
03052,Babyfood dinner beef stew toddler,13.0,5.1,51.0,86.9
03055,Babyfood dinner beef with vegetables,12.0,2.03,96.0,84.3
03298,Babyfood dinner broccoli and chicken junior,13.0,3.59,62.0,86.92
43373,Babyfood dinner chicken and noodle with vegetables toddler,28.0,3.8,66.0,85.3
43008,Babyfood dinner chicken and rice,10.0,1.6,51.0,88.0
03069,Babyfood dinner chicken noodle junior,9.0,2.37,55.0,87.25
03068,Babyfood dinner chicken noodle strained,16.0,2.69,66.0,85.64
03070,Babyfood dinner chicken soup strained,4.0,1.6,50.0,89.1
03072,Babyfood dinner chicken stew toddler,29.0,5.2,78.0,83.3
03090,Babyfood dinner macaroni and cheese junior,6.0,2.6,61.0,86.5
03089,Babyfood dinner macaroni and cheese strained,7.0,3.14,67.0,85.25
03045,Babyfood dinner macaroni and tomato and beef junior,4.0,2.5,59.0,86.7
03044,Babyfood dinner macaroni and tomato and beef strained,7.0,2.36,61.0,86.34
43432,Babyfood dinner macaroni beef and tomato sauce toddler,7.0,4.34,81.0,81.81
03279,Babyfood dinner mixed vegetable junior,0.0,1.01,34.0,90.6
03077,Babyfood dinner pasta with vegetables,5.0,1.7,60.0,87.3
03304,Babyfood dinner potatoes with cheese and ham toddler,6.0,3.5,78.0,81.5
03050,Babyfood dinner spaghetti and tomato and meat junior,5.0,2.57,68.0,84.17
03303,Babyfood dinner sweet potatoes and chicken strained,11.0,2.51,74.0,83.7
03083,Babyfood dinner turkey and rice junior,4.0,2.37,56.0,86.64
03082,Babyfood dinner turkey and rice strained,5.0,2.27,52.0,88.22
03296,Babyfood dinner turkey rice and vegetables toddler,7.0,3.8,60.0,86.3
03059,Babyfood dinner vegetables and bacon strained,4.0,1.92,69.0,85.75
03054,Babyfood dinner vegetables and beef junior,7.0,2.21,77.0,84.94
03053,Babyfood dinner vegetables and beef strained,7.0,2.21,77.0,84.94
03274,Babyfood dinner vegetables and chicken junior,7.0,2.04,53.0,87.76
03062,Babyfood dinner vegetables and ham junior,3.0,2.02,60.0,87.0
03061,Babyfood dinner vegetables and ham strained,5.0,2.19,59.0,87.47
03067,Babyfood dinner vegetables and lamb junior,5.0,2.1,51.0,88.6
03066,Babyfood dinner vegetables and lamb strained,6.0,2.0,52.0,88.6
03085,Babyfood dinner vegetables and turkey junior,4.0,1.72,53.0,88.5
03084,Babyfood dinner vegetables and turkey strained,4.0,2.32,48.0,88.82
03073,Babyfood dinner vegetables chicken strained,11.0,2.47,59.0,86.9
03964,Babyfood fortified cereal bar fruit filling,1.0,5.43,344.0,14.0
03154,Babyfood fruit and vegetable apple and sweet potato,0.0,0.3,64.0,84.0
03140,Babyfood fruit dessert mango with tapioca,0.0,0.3,70.0,80.0
43585,Babyfood fruit supreme dessert,0.0,0.5,73.0,81.6
03165,Babyfood fruit apple and blueberry junior,0.0,0.2,62.0,82.8
03164,Babyfood fruit apple and blueberry strained,0.0,0.2,61.0,83.1
03153,Babyfood fruit apple and raspberry junior,0.0,0.2,58.0,84.0
03152,Babyfood fruit apple and raspberry strained,0.0,0.2,58.0,83.8
03143,Babyfood fruit applesauce and apricots junior,0.0,0.2,47.0,86.9
03142,Babyfood fruit applesauce and apricots strained,0.0,0.2,44.0,87.7
